Employee ID,Name,Age,Gender,Department,Position,Manager,Contact Information,Emergency Contact,Leave Type,Reason for Leave,Leave Start Date,Leave End Date,Return to Work Date,Duration,Leave Request Date,Approval Status,Leave Approval Date,Notification Method,Substitute/Backup Employee,Training Required,Previous Leave History,Leave Balance,Annual Leave Quota,Remote Work Option,Health Status,Comments from HR,Document Attachment,Cost Center
d40fdd6d-6dc2-48d6-9a66-3aa67b5b95ce,Vickie Hernandez MD,24,Female,IT,Animator,Dr. Melissa Burton,(852)531-7764x000,324-797-0367,Maternity,Family obligation,2023-07-28,2023-08-15,2023-08-16,18,2023-07-26,Denied,2023-07-26,Phone call,Rose Clayton,True,5 leaves in the past year,16,10,True,Good,Requires follow-up,None,Garcia Group
17128ed5-edb8-4191-aa34-26c21549912e,Michael Roach,25,Male,Operations,Homeopath,Christine Sosa,3054202341,(508)222-6822,Paternity,Educational course,2024-01-26,2024-02-17,2024-02-18,22,2024-01-21,Approved,2024-01-22,Email,Terry Ford,False,4 leaves in the past year,11,24,False,Good,Requires follow-up,None,Thompson-Duran
e35506c7-1337-4e61-ac1e-c3302567c3a6,Mr. Kevin Spencer,61,Female,HR,"Nurse, children's",Christopher Donaldson,578.926.9181,4014698936,Maternity,Vacation travel,2023-12-18,2024-01-04,2024-01-05,17,2023-12-14,Denied,2023-12-18,Phone call,Lauren Harris,True,5 leaves in the past year,2,20,True,Good,No comments,None,Adams-Benson
912b5c91-aa8f-4e9f-ba35-c42e98123723,Rodney Fletcher,23,Male,IT,Personnel officer,Jaime Campbell,2276283348,(949)611-3892,Annual,Medical treatment,2024-04-20,2024-04-23,2024-04-24,3,2024-04-14,Denied,2024-04-18,Email,Sean Singh,False,2 leaves in the past year,19,13,True,Good,Please update contact details,None,"Rangel, Parker and Martin"
7a2479ca-cc64-41f7-b028-6d779c92ef5c,Adam Guerra,60,Female,Operations,Civil Service administrator,Darrell Meadows,320.208.0576,+1-895-870-0946x292,Paternity,Vacation travel,2023-07-05,2023-07-25,2023-07-26,20,2023-06-27,Approved,2023-07-02,Phone call,Maria Moyer,False,5 leaves in the past year,14,25,False,Good,No comments,None,Baldwin and Sons
cb1bfb75-eba5-44b1-b004-ccc0266f8330,Laurie Nelson,42,Female,Operations,Retail banker,Nathan Yang,+1-236-721-2941,834.230.1979x5807,Maternity,Vacation travel,2023-10-26,2023-11-08,2023-11-09,13,2023-10-24,Denied,2023-10-24,Email,George Howard,True,4 leaves in the past year,29,29,False,Good,Requires follow-up,huge.txt,Arellano Inc
5b2ba251-af79-451b-a454-182c564c6fd1,Angela Wolf,42,Male,Operations,Land,Lori Schmidt,7582233400,773.589.9449,Paternity,Medical treatment,2023-07-08,2023-07-31,2023-08-01,23,2023-07-06,Approved,2023-07-06,Phone call,Whitney Duran,True,4 leaves in the past year,27,18,True,Good,Requires follow-up,page.jpg,Morrow-Robbins
5e87a2a3-d28c-4f96-bdd7-2dc0720a21c0,Sarah Hernandez,32,Other,IT,"Engineer, site",Brandon Watkins,872.954.4302x535,941-438-6252,Maternity,Educational course,2024-01-28,2024-02-24,2024-02-25,27,2024-01-20,Approved,2024-01-28,Email,Daniel Mays,True,4 leaves in the past year,3,19,False,Good,No comments,None,Brown-Jones
a2b95bcb-e723-49cc-a775-b5dea35eb23b,Laurie Smith,62,Male,HR,Corporate investment banker,Jason Boone,(684)909-4482x081,361-572-6668x96416,Maternity,Medical treatment,2023-12-30,2024-01-07,2024-01-08,8,2023-12-22,Approved,2023-12-28,Email,Kelly Chavez,True,5 leaves in the past year,0,17,True,Good,No comments,None,Casey-Ramirez
475fe56e-e99c-4e7c-b04e-1aa372f0e755,Stacy Baird,46,Other,Operations,"Scientist, forensic",Ashley Juarez,001-975-248-4881x476,+1-472-832-0432,Annual,Medical treatment,2024-01-18,2024-01-20,2024-01-21,2,2024-01-08,Denied,2024-01-14,Email,Richard Miller,True,1 leaves in the past year,15,27,False,Good,No comments,None,"Choi, Lewis and Shea"
48511ae8-e8c5-4248-add1-955cf73dfc13,Kimberly Roberson,42,Male,Marketing,"Engineer, manufacturing systems",Andrew Parker,001-737-363-0847x340,927.811.7640x251,Sick,Educational course,2024-01-06,2024-02-03,2024-02-04,28,2024-01-02,Approved,2024-01-05,Email,Lisa Williams,False,2 leaves in the past year,24,19,False,Good,No comments,None,"Lowe, Mcdonald and Sullivan"
81a84c8c-764d-4984-88ff-29f9777a9791,Veronica Jones,35,Male,HR,Manufacturing engineer,Mark Harmon,954-570-1512x3566,001-688-631-5534x885,Maternity,Vacation travel,2023-12-04,2023-12-21,2023-12-22,17,2023-11-24,Denied,2023-11-29,Phone call,Morgan Hudson,True,0 leaves in the past year,20,24,True,Good,No comments,None,Wong-Richardson
7f05d3ec-8f7f-4e50-afca-93d2700f4417,Jacqueline Walker,61,Male,IT,Sports administrator,Eric Ross,001-382-663-8789x895,001-786-959-9713x93131,Sick,Medical treatment,2024-03-02,2024-03-08,2024-03-09,6,2024-02-28,Approved,2024-02-28,Email,Linda Clark,False,0 leaves in the past year,12,29,False,Good,No comments,Mr.mp3,"Pugh, Hamilton and Garrett"
7b430ba0-5300-478b-8e09-c85435d2dbfe,Megan Villanueva,23,Other,Sales,Associate Professor,Lee Dixon,949.476.3639,860.788.8558,Paternity,Medical treatment,2023-11-15,2023-11-27,2023-11-28,12,2023-11-11,Denied,2023-11-15,Phone call,Andre Harris,False,4 leaves in the past year,17,28,True,Good,Please update contact details,None,Middleton and Sons
394a874b-7afa-4505-933c-dd4146d68fc8,Briana Hopkins,21,Other,IT,"Psychologist, forensic",Mary Gonzalez,+1-982-283-4935x276,(934)544-1184x61935,Paternity,Medical treatment,2023-06-27,2023-07-17,2023-07-18,20,2023-06-20,Denied,2023-06-24,Email,Adrian Aguirre,True,1 leaves in the past year,7,28,False,Good,No issues,turn.odp,Morales Inc
df2c4cf1-21ce-42e4-a557-e490dcabaedf,Justin Rowland,21,Female,Operations,Ceramics designer,Stephen Owen,274.465.7112x10542,001-465-359-7453x3028,Paternity,Vacation travel,2024-01-22,2024-02-13,2024-02-14,22,2024-01-14,Denied,2024-01-17,Phone call,Terry Mullins,True,4 leaves in the past year,4,23,True,Good,No comments,side.pages,"Bailey, Young and Higgins"
877d3a8e-9ab7-445c-888f-822a59de61a7,Erik Flores,33,Male,Operations,"Education officer, museum",Monica Rhodes,341.926.0300,+1-968-260-6116x7800,Sick,Medical treatment,2023-08-06,2023-08-12,2023-08-13,6,2023-08-05,Approved,2023-08-01,Phone call,Molly Smith,False,2 leaves in the past year,17,14,True,Good,Reviewed,None,Patel PLC
9b37f7b9-4f02-492a-bd32-c418e06f840b,Maria Gray,30,Male,Operations,Animal technologist,Jeremy Miller,001-245-823-2792x98694,+1-420-996-6642,Sick,Family obligation,2023-08-06,2023-08-09,2023-08-10,3,2023-07-29,Approved,2023-08-01,Email,Betty White,False,5 leaves in the past year,13,11,False,Good,No comments,source.odp,Flores LLC
0c7e33ee-32c0-4015-8244-bbe7133f17d7,Julia Lee,57,Male,Operations,Retail merchandiser,Miss Sandra Stevenson,+1-932-382-0688,661.838.6227x3796,Paternity,Educational course,2023-05-31,2023-06-21,2023-06-22,21,2023-05-25,Approved,2023-05-27,Phone call,Troy Anderson,True,0 leaves in the past year,30,25,True,Good,No comments,None,Taylor LLC
fc9a5f01-7b59-4b6d-90de-50b524da8219,Mrs. Alyssa Carey,40,Male,Sales,"Teacher, English as a foreign language",Samantha Becker,(583)710-1576,248.331.3378x13832,Annual,Educational course,2023-07-29,2023-08-07,2023-08-08,9,2023-07-25,Approved,2023-07-26,Phone call,Michael Cox,False,2 leaves in the past year,5,28,False,Good,No comments,None,Vaughan Inc
9f177f9f-a124-422a-8278-1931cf727ad7,Rachel Wood,40,Female,Operations,Sales promotion account executive,Justin Raymond,494.995.6184x208,001-327-273-0654x8578,Maternity,Family obligation,2024-05-02,2024-05-29,2024-05-30,27,2024-05-01,Approved,2024-04-30,Email,Richard Costa,False,3 leaves in the past year,20,21,False,Good,Please update contact details,None,"Howell, Hart and Freeman"
f0ef49fc-881d-4461-942d-6b8ded35ba5d,Bryan White,21,Other,Sales,Energy engineer,Stephanie Simmons,962.272.0877,001-614-591-4637x3819,Annual,Educational course,2023-10-20,2023-11-14,2023-11-15,25,2023-10-14,Approved,2023-10-15,Phone call,Robert Green,True,2 leaves in the past year,13,28,True,Good,No issues,None,Robinson-Price
f8188196-30d3-4095-b06b-0589eaff3821,Matthew Ramirez,18,Male,Sales,"Clinical scientist, histocompatibility and immunogenetics",Jennifer Rogers,001-390-947-4537,401-423-3281x459,Annual,Family obligation,2023-08-26,2023-09-24,2023-09-25,29,2023-08-22,Approved,2023-08-21,Email,Lucas Barton,False,0 leaves in the past year,0,28,False,Good,No comments,general.jpg,"Martin, Thompson and Irwin"
17f4468f-0714-4ca4-84ac-e3b5d7084eac,Ryan Dean,30,Male,Operations,"Loss adjuster, chartered",Deanna Garcia,459-924-4159x879,391.638.7924,Annual,Educational course,2023-07-29,2023-08-22,2023-08-23,24,2023-07-19,Denied,2023-07-28,Phone call,Megan Rivera,False,2 leaves in the past year,25,11,True,Good,No issues,None,"White, Cox and Sanchez"
38b80fdc-0df6-4152-b689-775dbeff43ac,Kathy Kent DDS,63,Male,Operations,Farm manager,Lisa Johnson,596-966-2341x1749,883-980-3976x746,Paternity,Medical treatment,2024-03-22,2024-04-08,2024-04-09,17,2024-03-18,Approved,2024-03-17,Phone call,Jason Park,True,0 leaves in the past year,29,23,False,Good,Requires follow-up,None,Simmons-Stevens
f7f40677-0970-4bec-947e-559a7ea463a6,Sandra Hart,63,Female,IT,Ergonomist,Sean Fowler,714.584.8391x982,269.843.3116x0118,Paternity,Medical treatment,2024-03-20,2024-03-22,2024-03-23,2,2024-03-18,Denied,2024-03-19,Email,Charles Daniels,True,2 leaves in the past year,3,28,False,Good,No issues,None,Carr and Sons
bdc2e096-bba1-4746-a532-089cf27dfa1e,Connie Hess,51,Male,HR,Dispensing optician,Anna Campbell,859.869.8171x04610,(674)946-2915x37743,Paternity,Family obligation,2023-09-08,2023-09-12,2023-09-13,4,2023-09-02,Denied,2023-09-08,Phone call,Zachary Trujillo,True,0 leaves in the past year,3,17,True,Good,Requires follow-up,part.avi,"Gillespie, Meza and Bell"
e146d632-50a3-4eb8-840d-88f00ed14159,Stephen Griffin,45,Male,HR,Cartographer,John Little,(360)693-7002x173,+1-282-752-7533,Paternity,Family obligation,2024-02-08,2024-02-13,2024-02-14,5,2024-01-29,Denied,2024-02-03,Email,Madeline Howell,True,3 leaves in the past year,26,26,True,Good,No issues,None,Ramos PLC
de6d5e91-b95f-43dd-8b89-01a5f5e061ed,Ryan Middleton,18,Male,Marketing,Chief Executive Officer,Taylor Rogers,959-642-0394x568,001-256-399-0851,Annual,Medical treatment,2023-07-17,2023-08-14,2023-08-15,28,2023-07-15,Denied,2023-07-17,Phone call,Adam White,True,0 leaves in the past year,21,13,False,Good,No issues,None,Mckenzie and Sons
fb662d29-c130-4ad9-9eb8-c18378a11216,Dakota Hopkins,32,Male,Operations,"Chemist, analytical",Jon Jackson PhD,+1-370-760-8118x33198,280-206-6472,Maternity,Medical treatment,2024-02-26,2024-03-13,2024-03-14,16,2024-02-21,Approved,2024-02-21,Phone call,Alexander Johnson,False,0 leaves in the past year,29,16,False,Good,No comments,None,Bishop-West
4a3f19bb-4c55-40d1-ac7e-8121f1b3f842,Kenneth Welch,20,Male,IT,Academic librarian,John Harris,(463)951-3022,(980)425-8892x10874,Annual,Medical treatment,2023-12-06,2023-12-20,2023-12-21,14,2023-11-28,Denied,2023-12-06,Email,John Harrell,True,2 leaves in the past year,15,12,False,Good,Reviewed,strategy.json,Lynch-Brewer
cfaaa2a9-a320-4d9b-a0c7-7c437a5b3859,Richard Cox,24,Other,Operations,Paramedic,Charles Butler,436.892.7862x0846,001-985-684-3164,Sick,Vacation travel,2023-12-24,2023-12-29,2023-12-30,5,2023-12-21,Approved,2023-12-20,Phone call,Christopher Martinez,True,1 leaves in the past year,28,29,False,Good,No comments,None,"Harris, Webb and Whitehead"
fbe489fe-8592-4609-8ae8-7b93ff887787,Nathan Miles,32,Female,IT,Garment/textile technologist,James Jackson,(677)458-8291,235-992-5001x105,Sick,Educational course,2024-04-07,2024-04-15,2024-04-16,8,2024-03-28,Denied,2024-04-07,Email,Julie Ortiz,False,3 leaves in the past year,14,22,False,Good,No comments,discover.mov,Wilson LLC
6c187602-e13b-45e8-8d86-739622b4f1a5,Robert Gutierrez,19,Male,Marketing,Charity fundraiser,Joseph Jones PhD,(358)887-8636x4573,700.558.5237x1306,Sick,Educational course,2024-03-22,2024-03-31,2024-04-01,9,2024-03-13,Approved,2024-03-21,Email,James Walker,True,4 leaves in the past year,14,14,True,Good,No comments,None,Horton and Sons
aa4404bc-0180-4864-b366-b48096dc3807,Peter Wagner,35,Female,Sales,Charity fundraiser,Ashley Stone,728-867-3251x9206,211-570-9962,Paternity,Medical treatment,2023-11-30,2023-12-26,2023-12-27,26,2023-11-20,Approved,2023-11-30,Phone call,Kenneth Stewart,True,2 leaves in the past year,20,22,False,Good,No comments,None,Morris Group
2f049725-4390-42dc-83d0-02fbb7ac06c4,Kathy Jarvis,24,Female,Operations,Best boy,Marie Robinson,339.795.0730,681.329.8173,Annual,Vacation travel,2023-12-15,2023-12-17,2023-12-18,2,2023-12-13,Denied,2023-12-12,Email,Tony Rowe,True,4 leaves in the past year,19,22,False,Good,Requires follow-up,tell.png,"Jones, Holmes and Nguyen"
4f9abd11-82f4-4e30-839b-0fbf5d770910,Sean Riggs,48,Male,Sales,Occupational therapist,Kevin Proctor,7185646193,(989)737-1122x3454,Annual,Medical treatment,2023-09-09,2023-09-28,2023-09-29,19,2023-09-01,Denied,2023-09-06,Email,Morgan Mason,True,4 leaves in the past year,20,12,True,Good,Reviewed,magazine.wav,Wilson and Sons
9cc6e28f-59bd-4b04-ba3c-5f69829cc1ab,Mrs. Theresa Colon,60,Male,Marketing,"Conservator, furniture",Kyle Stephenson,271-993-7461x5568,001-957-270-2079x1850,Maternity,Vacation travel,2023-09-20,2023-10-16,2023-10-17,26,2023-09-18,Denied,2023-09-18,Email,Krista Alvarez,False,3 leaves in the past year,23,24,False,Good,No issues,None,"Ortiz, Macdonald and Jennings"
15be91cb-4d42-43f3-8172-7ad6d9a5a7f9,Mary Banks,28,Other,IT,Maintenance engineer,Michelle Richardson,(918)334-2756x49746,001-461-834-3315,Maternity,Educational course,2023-10-06,2023-10-18,2023-10-19,12,2023-10-02,Approved,2023-10-03,Email,Morgan Taylor,True,0 leaves in the past year,2,28,True,Good,No comments,None,"Gregory, Green and Olsen"
f7a060d0-350d-4504-9b65-5b09170fd716,Victor Williams,46,Male,IT,Oncologist,Jeanne Ewing,556.665.9944,001-925-855-5994x1114,Annual,Educational course,2023-06-13,2023-06-21,2023-06-22,8,2023-06-07,Approved,2023-06-10,Email,Alexandra Sanders,False,0 leaves in the past year,3,15,True,Good,No issues,None,Mckenzie-Hansen
ec7fd6a8-80b6-4022-9f8a-52a5891ec0ba,Scott Horn,25,Other,Sales,Economist,Lauren Ritter,7398720343,001-978-386-5685x478,Paternity,Medical treatment,2023-07-27,2023-08-20,2023-08-21,24,2023-07-20,Denied,2023-07-24,Email,Margaret Soto,False,4 leaves in the past year,11,27,True,Good,No comments,None,Pierce LLC
40b14130-1451-4b16-b096-6a532970bd20,Bryan Thompson,46,Other,HR,Medical secretary,Richard Adkins,365-292-2709,(246)244-1986x490,Maternity,Family obligation,2023-07-13,2023-08-10,2023-08-11,28,2023-07-05,Denied,2023-07-08,Email,Willie Mora,True,3 leaves in the past year,5,24,True,Good,No comments,between.flac,Spears Group
1af5b409-3c4a-444e-8976-288e53c46bf0,Tammy Ross,22,Other,Marketing,Gaffer,Jill Banks,001-390-534-6768x465,8449826488,Maternity,Vacation travel,2023-07-10,2023-07-14,2023-07-15,4,2023-07-01,Approved,2023-07-06,Phone call,Amanda Zavala,False,3 leaves in the past year,24,13,True,Good,No comments,None,Smith LLC
a9e2b5e2-c574-44ef-82ed-415d1b487894,Melinda Smith,45,Other,Sales,"Surveyor, insurance",Michael Young,911-594-1015,(933)384-1641,Annual,Educational course,2023-12-08,2023-12-24,2023-12-25,16,2023-11-29,Approved,2023-12-07,Phone call,Billy Barker,False,1 leaves in the past year,9,26,True,Good,Please update contact details,None,"Mcfarland, Sanchez and Johnson"
6be4347f-df6c-4882-afcd-856623fdf00e,Kelsey Mckee,48,Other,IT,"Surveyor, mining",Amy Roberts,934-519-2245x56102,001-613-599-2330x595,Paternity,Family obligation,2023-12-25,2024-01-10,2024-01-11,16,2023-12-22,Denied,2023-12-22,Email,Charles Anderson,False,4 leaves in the past year,9,10,False,Good,No comments,arm.jpeg,Smith-Price
867b331b-36f9-4a57-aec0-d690d78afab2,David Torres,62,Other,IT,Research scientist (medical),Benjamin Davis,+1-383-264-9290x7169,3715995056,Paternity,Medical treatment,2023-10-18,2023-11-04,2023-11-05,17,2023-10-09,Denied,2023-10-13,Email,April Johnson,False,2 leaves in the past year,5,16,True,Good,Reviewed,None,"Sheppard, Marquez and Butler"
6cc6c04e-0344-400f-8bc3-98a9dfe78b36,Amanda Moore,26,Male,IT,"Engineer, electrical",Joyce Oconnell,001-973-390-7533,+1-966-271-0312x83899,Sick,Family obligation,2023-11-25,2023-12-05,2023-12-06,10,2023-11-17,Approved,2023-11-23,Email,Joshua Williams,False,5 leaves in the past year,30,27,False,Good,No comments,mouth.ppt,Johnson LLC
3bbbf8aa-0253-4f62-9dea-ebe35ca05cc9,Steven Torres,29,Male,Marketing,"Doctor, general practice",Laura Cummings,(433)906-0021x347,001-270-806-8569x0697,Paternity,Medical treatment,2023-07-17,2023-08-03,2023-08-04,17,2023-07-12,Approved,2023-07-13,Phone call,Raymond Hubbard,True,0 leaves in the past year,25,19,False,Good,No comments,None,Vaughan PLC
780ad82e-07da-4cc3-8376-404ab85df370,Grant Robertson,25,Male,IT,Multimedia specialist,Joshua Rodriguez,(276)739-9384,251.910.4713,Sick,Educational course,2023-08-06,2023-08-25,2023-08-26,19,2023-08-04,Approved,2023-08-03,Phone call,Anna Gray,False,0 leaves in the past year,15,18,True,Good,No comments,None,Houston-Benson
b035a5c4-529a-430e-b3f3-bc04c25e3ebf,Terry Archer,55,Male,Sales,"Pharmacist, hospital",Lisa Ruiz,+1-922-533-9170x544,(379)981-2720x5752,Maternity,Medical treatment,2023-08-27,2023-09-12,2023-09-13,16,2023-08-17,Denied,2023-08-25,Phone call,Edward Lyons,True,2 leaves in the past year,23,16,True,Good,No comments,call.mov,"Collins, Molina and Smith"
6d4815bd-6d7e-4ad6-9e72-ee4fbf1fea8e,Amy Perkins,29,Other,IT,Investment analyst,Jonathan Roach,561.943.6579x08168,(256)849-9440x666,Annual,Vacation travel,2024-03-22,2024-04-11,2024-04-12,20,2024-03-16,Denied,2024-03-21,Email,Vincent Fitzpatrick,False,1 leaves in the past year,21,28,True,Good,No comments,None,Casey LLC
4fc141b3-d60f-4e1c-a7a4-2edfb309da4c,Daniel Wilson,40,Other,Operations,Stage manager,Maria Martinez,7898754428,001-365-425-0259x401,Sick,Vacation travel,2023-11-18,2023-12-03,2023-12-04,15,2023-11-13,Approved,2023-11-16,Email,Alyssa Villarreal,False,1 leaves in the past year,17,20,False,Good,No comments,None,Taylor LLC
df36f365-f1c3-4a73-a180-9fa1a984ca31,Jennifer Lane,58,Male,IT,Art gallery manager,Kenneth Padilla,363.595.5546,(474)646-0375,Annual,Medical treatment,2023-07-21,2023-08-02,2023-08-03,12,2023-07-20,Approved,2023-07-17,Email,Malik Williams,True,3 leaves in the past year,2,17,False,Good,No comments,None,"Steele, Jones and Johnson"
a659b44b-c6a6-4a25-8cb9-ac7de3373cb1,Bryan Ramirez,61,Other,Sales,Prison officer,Amy Greene,487.938.9445x2258,(641)678-9054,Paternity,Medical treatment,2024-01-21,2024-01-23,2024-01-24,2,2024-01-13,Approved,2024-01-21,Phone call,Samuel Rodriguez,False,5 leaves in the past year,4,21,True,Good,No issues,None,"Braun, David and Smith"
63afcab0-2612-4495-98cf-00f3df79f9f3,John Ochoa,32,Female,Sales,Public affairs consultant,Angela Johnson,(712)466-8620x845,(424)316-7253x387,Sick,Medical treatment,2023-08-04,2023-08-16,2023-08-17,12,2023-07-29,Denied,2023-07-31,Phone call,Cynthia Brown,True,3 leaves in the past year,26,11,True,Good,Requires follow-up,None,Miller PLC
36e4e533-cec9-4731-a089-b1725bc27be9,James Thomas,58,Male,Operations,"Research officer, political party",Elizabeth Green DDS,285.967.4707x72458,+1-842-709-6551,Sick,Vacation travel,2023-07-02,2023-07-26,2023-07-27,24,2023-07-01,Approved,2023-06-30,Email,Andres Hood,False,0 leaves in the past year,21,19,True,Good,No comments,None,Patterson PLC
26f7d4d9-6198-4c42-b132-2c7896428a63,David Mccann,27,Female,Marketing,Higher education careers adviser,Cynthia Vasquez,(489)848-2464,226-680-1949x4412,Paternity,Medical treatment,2024-04-25,2024-05-23,2024-05-24,28,2024-04-23,Denied,2024-04-23,Phone call,Kenneth Brown MD,True,4 leaves in the past year,17,25,False,Good,No comments,None,Ayers-Smith
f73a191d-f2d1-4646-941f-830ec9b9a74b,Evelyn Armstrong,46,Other,Sales,"Designer, jewellery",Melissa Lamb,(946)231-6323,(213)903-9909x8747,Annual,Vacation travel,2024-01-25,2024-02-10,2024-02-11,16,2024-01-20,Approved,2024-01-23,Email,Sarah Horn,True,4 leaves in the past year,6,27,True,Good,No comments,None,Grant-Mathews
e3f8bbf0-7a89-4332-84c4-1ef4ee9114c3,Kyle Hendricks,59,Female,HR,Diagnostic radiographer,Brian Harrington,930-811-8927x4874,(748)790-1877x510,Annual,Vacation travel,2023-05-08,2023-05-24,2023-05-25,16,2023-05-02,Denied,2023-05-04,Phone call,Joseph Davis,False,4 leaves in the past year,14,22,False,Good,No comments,None,Hughes Ltd
57612426-5de5-4077-9f94-06e08e6756f0,Bradley Griffin,26,Other,HR,Curator,Christine Jones,493.641.7179x43723,(683)820-6396x7811,Maternity,Vacation travel,2023-10-14,2023-11-02,2023-11-03,19,2023-10-05,Denied,2023-10-10,Phone call,Randy Watts,True,0 leaves in the past year,2,17,True,Good,No comments,cup.mp3,Carroll-Hayes
c7a22ca1-ff0b-4f75-8e91-482b02fe269e,Douglas Williams MD,54,Male,Marketing,Medical physicist,Joshua Brooks,765-975-4205x33048,598.571.5170,Sick,Vacation travel,2024-01-29,2024-02-03,2024-02-04,5,2024-01-21,Approved,2024-01-24,Email,Joan Leonard,True,4 leaves in the past year,13,21,True,Good,Reviewed,None,Ewing-Cooper
85b32e43-bcc6-42ae-b317-20e90d75c3a5,Brenda Hernandez,65,Female,Operations,Sports administrator,Janet Salazar,001-338-490-6201x664,(279)325-3509,Sick,Medical treatment,2023-06-16,2023-07-13,2023-07-14,27,2023-06-07,Denied,2023-06-14,Phone call,Angela Craig,True,1 leaves in the past year,27,26,True,Good,No comments,None,"Andrews, Flores and Campbell"
